phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,1000,1600,900,2500,0,0
body_state_setup,graph_chain,1,0,40,300,500,200,600,0,0
body_state_setup,graph_chain,10,9,40,300,400,200,600,0,0
body_state_setup,graph_chain,100,99,40,400,500,300,700,0,0
body_state_setup,graph_chain,1000,999,40,700,12500,600,13500,0,0
body_state_setup,graph_sparse,1,0,40,300,300,200,700,0,0
body_state_setup,graph_sparse,10,9,40,300,300,200,300,0,0
body_state_setup,graph_sparse,100,99,40,400,600,300,1000,0,0
body_state_setup,graph_sparse,1000,999,40,700,800,600,1100,0,0
body_state_setup,graph_wide,1,0,40,300,400,200,600,0,0
body_state_setup,graph_wide,10,9,40,300,300,200,400,0,0
body_state_setup,graph_wide,100,99,40,400,400,300,600,0,0
body_state_setup,graph_wide,1000,999,40,700,800,600,5300,0,0
body_state_setup,tiny_yield_chain,1,0,40,250,300,200,400,0,0
engine_execution,component_flat,10,9,40,27300,28600,26900,30500,0,0
engine_execution,component_flat,100,99,40,305750,313600,303100,315200,0,0
engine_execution,component_nested,13,12,40,40450,41000,39900,43100,0,0
engine_execution,component_nested,103,102,40,373900,392700,370800,399800,0,0
engine_execution,component_repeated_typed_10,10,10,40,61300,65000,60200,127100,0,0
engine_execution,component_repeated_typed_100,100,100,40,1073250,1092200,1064200,1143700,0,0
engine_execution,component_repeated_typed_2,2,2,40,13600,14100,13000,14800,0,0
engine_execution,dynamic_live_instances_1,3,2,40,30100,31700,29100,36000,0,0
engine_execution,dynamic_live_instances_10,3,2,40,235800,257500,228600,319500,0,0
engine_execution,dynamic_live_instances_100,3,2,40,5337000,5582500,4695600,5692100,0,0
engine_execution,dynamic_sequential_churn_1,2,1,40,26400,34100,25700,34700,0,0
engine_execution,dynamic_sequential_churn_10,2,1,40,175300,178600,172100,330300,0,0
engine_execution,dynamic_sequential_churn_100,2,1,40,1915950,2228900,1849500,2292500,0,0
engine_execution,effect_known_receipt,1,0,40,7400,7700,7300,7900,0,0
engine_execution,effect_unknown_recovery_failed,1,0,40,8100,8700,7900,9700,0,0
engine_execution,effect_unknown_recovery_resolved,1,0,40,7900,8100,7600,8100,0,0
engine_execution,graph_chain,1,0,40,5300,5700,5100,6700,0,0
engine_execution,graph_chain,10,9,40,28700,29900,28100,34200,0,0
engine_execution,graph_chain,100,99,40,346400,362100,335500,371700,0,0
engine_execution,graph_chain,1000,999,40,10399950,10831400,10239400,11089200,0,0
engine_execution,graph_sparse,1,0,40,5300,5700,5200,6500,0,0
engine_execution,graph_sparse,10,9,40,27600,28700,27100,37600,0,0
engine_execution,graph_sparse,100,99,40,320800,336000,300500,363700,0,0
engine_execution,graph_sparse,1000,999,40,8957050,9139600,8775200,9359700,0,0
engine_execution,graph_wide,1,0,40,5350,5600,5100,6300,0,0
engine_execution,graph_wide,10,9,40,28200,29600,26800,29900,0,0
engine_execution,graph_wide,100,99,40,300000,310500,291000,325900,0,0
engine_execution,graph_wide,1000,999,40,7421800,7530100,7228200,7648300,0,0
engine_execution,resident_ready_shutdown,1,0,40,7900,8100,7700,11500,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,8700,9800,8600,18100,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,15300,16600,15000,19700,0,0
engine_execution,resource_normal,2,1,40,10000,10300,9800,13600,0,0
engine_execution,resource_release_failure,2,1,40,10500,10800,10300,11300,0,0
engine_execution,resource_startup_failure,2,1,40,10400,10600,10200,10800,0,0
engine_execution,retry_one_failure,1,0,40,8300,8600,8100,8800,0,0
engine_execution,service_restart_exhausted,1,0,40,9000,9100,8800,9200,0,0
engine_execution,service_restart_stable_handle,1,0,40,12000,12300,11800,12600,0,0
engine_execution,tiny_yield_chain,1,0,40,5450,5600,5300,5700,0,0
engine_execution,trace_default,100,99,40,308450,314200,305100,315700,0,0
engine_execution,trace_observer,100,99,40,308950,314000,303800,317800,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,572,44928
engine_execution_alloc,component_flat,100,99,0,,,,,5259,513144
engine_execution_alloc,component_nested,13,12,0,,,,,855,59553
engine_execution_alloc,component_nested,103,102,0,,,,,6532,645129
engine_execution_alloc,component_repeated_typed_10,10,10,0,,,,,1405,95590
engine_execution_alloc,component_repeated_typed_100,100,100,0,,,,,22566,1456254
engine_execution_alloc,component_repeated_typed_2,2,2,0,,,,,303,24606
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,622,58021
engine_execution_alloc,dynamic_live_instances_10,3,2,0,,,,,4479,430855
engine_execution_alloc,dynamic_live_instances_100,3,2,0,,,,,69635,6293899
engine_execution_alloc,dynamic_sequential_churn_1,2,1,0,,,,,540,47499
engine_execution_alloc,dynamic_sequential_churn_10,2,1,0,,,,,3478,313271
engine_execution_alloc,dynamic_sequential_churn_100,2,1,0,,,,,32600,3408879
engine_execution_alloc,effect_known_receipt,1,0,0,,,,,149,14826
engine_execution_alloc,effect_unknown_recovery_failed,1,0,0,,,,,151,15667
engine_execution_alloc,effect_unknown_recovery_resolved,1,0,0,,,,,144,14963
engine_execution_alloc,graph_chain,1,0,0,,,,,99,11356
engine_execution_alloc,graph_chain,10,9,0,,,,,572,44928
engine_execution_alloc,graph_chain,100,99,0,,,,,5259,513144
engine_execution_alloc,graph_chain,1000,999,0,,,,,52066,19479112
engine_execution_alloc,graph_sparse,1,0,0,,,,,99,11357
engine_execution_alloc,graph_sparse,10,9,0,,,,,564,45889
engine_execution_alloc,graph_sparse,100,99,0,,,,,5163,494297
engine_execution_alloc,graph_sparse,1000,999,0,,,,,51106,15733289
engine_execution_alloc,graph_wide,1,0,0,,,,,99,11355
engine_execution_alloc,graph_wide,10,9,0,,,,,555,46847
engine_execution_alloc,graph_wide,100,99,0,,,,,4987,468375
engine_execution_alloc,graph_wide,1000,999,0,,,,,49161,11818647
engine_execution_alloc,resource_cleanup_error_upstream,3,1,0,,,,,314,25951
engine_execution_alloc,resource_normal,2,1,0,,,,,202,19154
engine_execution_alloc,resource_release_failure,2,1,0,,,,,212,19913
engine_execution_alloc,resource_startup_failure,2,1,0,,,,,209,20217
engine_execution_alloc,retry_one_failure,1,0,0,,,,,152,15009
engine_execution_alloc,service_restart_exhausted,1,0,0,,,,,182,17556
engine_execution_alloc,service_restart_stable_handle,1,0,0,,,,,234,22052
engine_execution_alloc,tiny_yield_chain,1,0,0,,,,,99,11356
engine_execution_alloc,trace_default,100,99,0,,,,,5259,513144
engine_execution_alloc,trace_observer,100,99,0,,,,,5259,513144
fixture_generation,graph_chain,1,0,20,100,200,100,300,0,0
fixture_generation,graph_chain,10,9,20,800,900,800,900,0,0
fixture_generation,graph_chain,100,99,20,7100,7200,6900,7500,0,0
