phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,peak_live_bytes,retained_bytes,checksum
adapter_setup,current_thread_runtime,0,0,0,69722,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,1,3018,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,2,2815,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,3,2796,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,4,2888,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,5,2722,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,6,2796,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,7,2704,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,8,2926,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,9,2926,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,10,3278,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,11,3371,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,12,3463,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,13,3759,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,14,3148,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,15,3333,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,16,3129,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,17,3018,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,18,3130,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,19,3222,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,20,3574,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,21,3000,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,22,3111,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,23,3130,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,24,3074,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,25,3055,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,26,3055,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,27,3092,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,28,3037,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,29,3112,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,30,3093,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,31,3056,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,32,3130,0,0,0,0,0
