phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,1000,1200,900,3700,0,0
body_state_setup,graph_chain,1,0,40,200,400,200,600,0,0
body_state_setup,graph_chain,10,9,40,200,400,200,700,0,0
body_state_setup,graph_chain,100,99,40,400,400,300,600,0,0
body_state_setup,graph_chain,1000,999,40,750,5800,600,6200,0,0
body_state_setup,graph_sparse,1,0,40,200,300,200,500,0,0
body_state_setup,graph_sparse,10,9,40,200,300,200,300,0,0
body_state_setup,graph_sparse,100,99,40,400,600,300,700,0,0
body_state_setup,graph_sparse,1000,999,40,700,800,600,6000,0,0
body_state_setup,graph_wide,1,0,40,200,300,200,600,0,0
body_state_setup,graph_wide,10,9,40,200,300,200,400,0,0
body_state_setup,graph_wide,100,99,40,400,500,300,600,0,0
body_state_setup,graph_wide,1000,999,40,700,5600,600,19800,0,0
body_state_setup,tiny_yield_chain,1,0,40,200,300,200,300,0,0
engine_execution,component_flat,10,9,40,27400,27800,26900,31700,0,0
engine_execution,component_flat,100,99,40,307050,318400,302800,343200,0,0
engine_execution,component_nested,13,12,40,51300,53000,50700,57700,0,0
engine_execution,component_nested,103,102,40,377000,388300,369800,1037200,0,0
engine_execution,component_repeated_typed_10,10,10,40,60700,64900,60100,67100,0,0
engine_execution,component_repeated_typed_100,100,100,40,1080700,1175400,1069700,1215300,0,0
engine_execution,component_repeated_typed_2,2,2,40,13300,13900,13000,15000,0,0
engine_execution,dynamic_live_instances_1,3,2,40,29900,30700,29400,36300,0,0
engine_execution,dynamic_live_instances_10,3,2,40,245150,294600,230300,306500,0,0
engine_execution,dynamic_live_instances_100,3,2,40,5412650,5594000,4779300,6382400,0,0
engine_execution,dynamic_sequential_churn_1,2,1,40,25800,28400,25200,43000,0,0
engine_execution,dynamic_sequential_churn_10,2,1,40,173450,178800,169100,181700,0,0
engine_execution,dynamic_sequential_churn_100,2,1,40,1961150,2296400,1874600,2414100,0,0
engine_execution,effect_known_receipt,1,0,40,7400,7500,7300,10100,0,0
engine_execution,effect_unknown_recovery_failed,1,0,40,8000,8200,7900,8300,0,0
engine_execution,effect_unknown_recovery_resolved,1,0,40,7800,8400,7500,9400,0,0
engine_execution,graph_chain,1,0,40,5100,5400,5000,6400,0,0
engine_execution,graph_chain,10,9,40,28600,29900,27800,31700,0,0
engine_execution,graph_chain,100,99,40,349800,365000,336300,366900,0,0
engine_execution,graph_chain,1000,999,40,10598450,10883600,10372100,11348300,0,0
engine_execution,graph_sparse,1,0,40,5000,5500,4900,9100,0,0
engine_execution,graph_sparse,10,9,40,27300,28900,26600,85000,0,0
engine_execution,graph_sparse,100,99,40,325100,333900,313300,344000,0,0
engine_execution,graph_sparse,1000,999,40,8900700,9221500,8297600,9611200,0,0
engine_execution,graph_wide,1,0,40,5200,5400,4900,6000,0,0
engine_execution,graph_wide,10,9,40,28200,32000,27100,33000,0,0
engine_execution,graph_wide,100,99,40,318850,339100,298500,355300,0,0
engine_execution,graph_wide,1000,999,40,7377250,7665900,7237900,8141500,0,0
engine_execution,resident_ready_shutdown,1,0,40,8000,8700,7700,8900,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,8600,9900,8400,18100,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,15200,16600,14900,33100,0,0
engine_execution,resource_normal,2,1,40,9800,10100,9600,10200,0,0
engine_execution,resource_release_failure,2,1,40,10300,10500,10100,12800,0,0
engine_execution,resource_startup_failure,2,1,40,10300,10500,10000,10900,0,0
engine_execution,retry_one_failure,1,0,40,7500,7700,7400,7700,0,0
engine_execution,service_restart_exhausted,1,0,40,9000,9200,8800,9300,0,0
engine_execution,service_restart_stable_handle,1,0,40,12000,12200,11900,12300,0,0
engine_execution,tiny_yield_chain,1,0,40,5200,5600,5000,9800,0,0
engine_execution,trace_default,100,99,40,307350,315900,302600,322200,0,0
engine_execution,trace_observer,100,99,40,306650,324700,302500,928000,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,572,44928
engine_execution_alloc,component_flat,100,99,0,,,,,5259,513144
engine_execution_alloc,component_nested,13,12,0,,,,,855,59553
engine_execution_alloc,component_nested,103,102,0,,,,,6532,645129
engine_execution_alloc,component_repeated_typed_10,10,10,0,,,,,1405,95590
engine_execution_alloc,component_repeated_typed_100,100,100,0,,,,,22566,1456254
engine_execution_alloc,component_repeated_typed_2,2,2,0,,,,,303,24606
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,622,58021
engine_execution_alloc,dynamic_live_instances_10,3,2,0,,,,,4479,430855
engine_execution_alloc,dynamic_live_instances_100,3,2,0,,,,,69635,6293899
engine_execution_alloc,dynamic_sequential_churn_1,2,1,0,,,,,540,47499
engine_execution_alloc,dynamic_sequential_churn_10,2,1,0,,,,,3478,313271
engine_execution_alloc,dynamic_sequential_churn_100,2,1,0,,,,,32600,3408879
engine_execution_alloc,effect_known_receipt,1,0,0,,,,,149,14826
engine_execution_alloc,effect_unknown_recovery_failed,1,0,0,,,,,151,15667
engine_execution_alloc,effect_unknown_recovery_resolved,1,0,0,,,,,144,14963
engine_execution_alloc,graph_chain,1,0,0,,,,,99,11356
engine_execution_alloc,graph_chain,10,9,0,,,,,572,44928
engine_execution_alloc,graph_chain,100,99,0,,,,,5259,513144
engine_execution_alloc,graph_chain,1000,999,0,,,,,52066,19479112
engine_execution_alloc,graph_sparse,1,0,0,,,,,99,11357
engine_execution_alloc,graph_sparse,10,9,0,,,,,564,45889
engine_execution_alloc,graph_sparse,100,99,0,,,,,5163,494297
engine_execution_alloc,graph_sparse,1000,999,0,,,,,51106,15733289
engine_execution_alloc,graph_wide,1,0,0,,,,,99,11355
engine_execution_alloc,graph_wide,10,9,0,,,,,555,46847
engine_execution_alloc,graph_wide,100,99,0,,,,,4987,468375
engine_execution_alloc,graph_wide,1000,999,0,,,,,49161,11818647
engine_execution_alloc,resource_cleanup_error_upstream,3,1,0,,,,,314,25951
engine_execution_alloc,resource_normal,2,1,0,,,,,202,19154
engine_execution_alloc,resource_release_failure,2,1,0,,,,,212,19913
engine_execution_alloc,resource_startup_failure,2,1,0,,,,,209,20217
engine_execution_alloc,retry_one_failure,1,0,0,,,,,152,15009
engine_execution_alloc,service_restart_exhausted,1,0,0,,,,,182,17556
engine_execution_alloc,service_restart_stable_handle,1,0,0,,,,,234,22052
engine_execution_alloc,tiny_yield_chain,1,0,0,,,,,99,11356
engine_execution_alloc,trace_default,100,99,0,,,,,5259,513144
engine_execution_alloc,trace_observer,100,99,0,,,,,5259,513144
fixture_generation,graph_chain,1,0,20,100,200,100,200,0,0
fixture_generation,graph_chain,10,9,20,800,900,700,900,0,0
fixture_generation,graph_chain,100,99,20,6900,7100,6700,7100,0,0
fixture_generation,graph_chain,1000,999,20,66900,69600,65600,70400,0,0
fixture_generation,graph_sparse,1,0,20,200,200,100,200,0,0
fixture_generation,graph_sparse,10,9,20,800,800,700,800,0,0
fixture_generation,graph_sparse,100,99,20,6900,7500,6700,7600,0,0
fixture_generation,graph_sparse,1000,999,20,63300,67700,63000,70500,0,0
fixture_generation,graph_wide,1,0,20,200,300,100,500,0,0
fixture_generation,graph_wide,10,9,20,800,900,700,900,0,0
fixture_generation,graph_wide,100,99,20,6900,7100,6800,7200,0,0
fixture_generation,graph_wide,1000,999,20,63450,66900,63000,68100,0,0
fixture_generation,tiny_yield_chain,1,0,20,200,900,100,2000,0,0
machine_state_setup,graph_chain,1,0,40,200,300,200,400,0,0
machine_state_setup,graph_chain,10,9,40,900,1100,800,1300,0,0
machine_state_setup,graph_chain,100,99,40,6300,6700,6200,12500,0,0
machine_state_setup,graph_chain,1000,999,40,63800,138600,58300,168900,0,0
machine_state_setup,graph_sparse,1,0,40,200,300,200,400,0,0
machine_state_setup,graph_sparse,10,9,40,800,900,700,1100,0,0
machine_state_setup,graph_sparse,100,99,40,6300,6500,6000,11600,0,0
machine_state_setup,graph_sparse,1000,999,40,56350,70800,56000,151100,0,0
machine_state_setup,graph_wide,1,0,40,200,300,200,400,0,0
machine_state_setup,graph_wide,10,9,40,800,900,800,1300,0,0
machine_state_setup,graph_wide,100,99,40,6300,6500,6100,9200,0,0
machine_state_setup,graph_wide,1000,999,40,56900,133200,56200,140700,0,0
machine_state_setup,tiny_yield_chain,1,0,40,200,300,200,300,0,0
plan_build,component_repeated_typed_10,10,10,20,18050,22400,17400,32100,0,0
plan_build,component_repeated_typed_100,100,100,20,220800,323100,168200,340500,0,0
plan_build,component_repeated_typed_2,2,2,20,5000,10700,4600,13800,0,0
plan_build,graph_chain,1,0,20,1600,2200,1300,8000,0,0
plan_build,graph_chain,10,9,20,6900,17100,6500,62800,0,0
plan_build,graph_chain,100,99,20,157350,218900,120300,238000,0,0
plan_build,graph_chain,1000,999,20,1595850,1876600,1421000,1892400,0,0
plan_build,graph_sparse,1,0,20,1500,1800,1300,3300,0,0
plan_build,graph_sparse,10,9,20,6700,20600,5900,26500,0,0
plan_build,graph_sparse,100,99,20,150350,254300,107500,269200,0,0
plan_build,graph_sparse,1000,999,20,1690550,1859900,1172400,1896000,0,0
plan_build,graph_wide,1,0,20,1400,1500,1200,9100,0,0
plan_build,graph_wide,10,9,20,6050,14000,5800,17300,0,0
plan_build,graph_wide,100,99,20,160200,197200,120300,208500,0,0
plan_build,graph_wide,1000,999,20,1817450,2087400,1645700,2110700,0,0
plan_build,tiny_yield_chain,1,0,20,1300,3300,1200,34000,0,0
plan_build_alloc,component_repeated_typed_10,10,10,0,,,,,460,93329
plan_build_alloc,component_repeated_typed_100,100,100,0,,,,,3876,807301
plan_build_alloc,component_repeated_typed_2,2,2,0,,,,,134,19521
plan_build_alloc,graph_chain,1,0,0,,,,,36,6722
plan_build_alloc,graph_chain,10,9,0,,,,,162,35321
plan_build_alloc,graph_chain,100,99,0,,,,,1269,304543
plan_build_alloc,graph_chain,1000,999,0,,,,,12096,2527259
plan_build_alloc,graph_sparse,1,0,0,,,,,36,6724
plan_build_alloc,graph_sparse,10,9,0,,,,,158,35195
plan_build_alloc,graph_sparse,100,99,0,,,,,1220,302977
plan_build_alloc,graph_sparse,1000,999,0,,,,,11597,2511293
plan_build_alloc,graph_wide,1,0,0,,,,,36,6720
plan_build_alloc,graph_wide,10,9,0,,,,,156,35255
plan_build_alloc,graph_wide,100,99,0,,,,,1176,303389
plan_build_alloc,graph_wide,1000,999,0,,,,,11106,2511641
plan_build_alloc,tiny_yield_chain,1,0,0,,,,,36,6722
pure_machine_events_preseeded,graph_chain,1,0,40,1000,1100,900,1900,0,0
pure_machine_events_preseeded,graph_chain,10,9,40,7300,7500,7100,8500,0,0
pure_machine_events_preseeded,graph_chain,100,99,40,104550,107600,102800,108600,0,0
