phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,peak_live_bytes,retained_bytes,checksum
plan_build_alloc,graph_chain,1,0,0,0,36,6762,0,0,11
plan_declaration_alloc,graph_chain,1,0,0,0,16,2178,0,0,1
plan_validation_freeze_alloc,graph_chain,1,0,0,0,20,4584,0,0,11
engine_execution_alloc,graph_chain,1,0,0,0,102,11820,0,0,23131
plan_build_alloc,graph_wide,1,0,0,0,36,6760,0,0,10
plan_declaration_alloc,graph_wide,1,0,0,0,16,2177,0,0,1
plan_validation_freeze_alloc,graph_wide,1,0,0,0,20,4583,0,0,10
engine_execution_alloc,graph_wide,1,0,0,0,102,11819,0,0,23131
plan_build_alloc,graph_sparse,1,0,0,0,36,6764,0,0,12
plan_declaration_alloc,graph_sparse,1,0,0,0,16,2179,0,0,1
plan_validation_freeze_alloc,graph_sparse,1,0,0,0,20,4585,0,0,12
engine_execution_alloc,graph_sparse,1,0,0,0,102,11821,0,0,23131
plan_build_alloc,graph_chain,10,9,0,0,162,35553,0,0,11
plan_declaration_alloc,graph_chain,10,9,0,0,71,14196,0,0,10
plan_validation_freeze_alloc,graph_chain,10,9,0,0,91,21357,0,0,11
engine_execution_alloc,graph_chain,10,9,0,0,575,47120,0,0,23130
plan_build_alloc,graph_wide,10,9,0,0,156,35487,0,0,10
plan_declaration_alloc,graph_wide,10,9,0,0,71,14195,0,0,10
plan_validation_freeze_alloc,graph_wide,10,9,0,0,85,21292,0,0,10
engine_execution_alloc,graph_wide,10,9,0,0,558,49039,0,0,23122
plan_build_alloc,graph_sparse,10,9,0,0,158,35427,0,0,12
plan_declaration_alloc,graph_sparse,10,9,0,0,71,14197,0,0,10
plan_validation_freeze_alloc,graph_sparse,10,9,0,0,87,21230,0,0,12
engine_execution_alloc,graph_sparse,10,9,0,0,567,48081,0,0,23127
plan_build_alloc,graph_chain,100,99,0,0,1269,306567,0,0,11
plan_declaration_alloc,graph_chain,100,99,0,0,536,126952,0,0,100
plan_validation_freeze_alloc,graph_chain,100,99,0,0,733,179615,0,0,11
engine_execution_alloc,graph_chain,100,99,0,0,5262,533336,0,0,23131
plan_build_alloc,graph_wide,100,99,0,0,1176,305413,0,0,10
plan_declaration_alloc,graph_wide,100,99,0,0,536,126951,0,0,100
plan_validation_freeze_alloc,graph_wide,100,99,0,0,640,178462,0,0,10
engine_execution_alloc,graph_wide,100,99,0,0,4990,488567,0,0,23096
plan_build_alloc,graph_sparse,100,99,0,0,1220,305001,0,0,12
plan_declaration_alloc,graph_sparse,100,99,0,0,536,126953,0,0,100
plan_validation_freeze_alloc,graph_sparse,100,99,0,0,684,178048,0,0,12
engine_execution_alloc,graph_sparse,100,99,0,0,5166,514489,0,0,23069
plan_build_alloc,graph_chain,1000,999,0,0,12096,2543619,0,0,11
plan_declaration_alloc,graph_chain,1000,999,0,0,5051,1046640,0,0,1000
plan_validation_freeze_alloc,graph_chain,1000,999,0,0,7045,1496979,0,0,11
engine_execution_alloc,graph_chain,1000,999,0,0,52069,19679304,0,0,23131
plan_build_alloc,graph_wide,1000,999,0,0,11106,2528001,0,0,10
plan_declaration_alloc,graph_wide,1000,999,0,0,5051,1046639,0,0,1000
plan_validation_freeze_alloc,graph_wide,1000,999,0,0,6055,1481362,0,0,10
engine_execution_alloc,graph_wide,1000,999,0,0,49164,12018839,0,0,22972
plan_build_alloc,graph_sparse,1000,999,0,0,11597,2527653,0,0,12
plan_declaration_alloc,graph_sparse,1000,999,0,0,5051,1046641,0,0,1000
plan_validation_freeze_alloc,graph_sparse,1000,999,0,0,6546,1481012,0,0,12
engine_execution_alloc,graph_sparse,1000,999,0,0,51109,15933481,0,0,22755
plan_build_alloc,tiny_yield_chain,1,0,0,0,36,6762,0,0,11
plan_declaration_alloc,tiny_yield_chain,1,0,0,0,16,2178,0,0,1
plan_validation_freeze_alloc,tiny_yield_chain,1,0,0,0,20,4584,0,0,11
engine_execution_alloc,tiny_yield_chain,1,0,0,0,102,11820,0,0,23131
engine_execution_alloc,resource_normal,2,1,0,0,205,19794,0,0,23130
engine_execution_alloc,resource_release_failure,2,1,0,0,215,20553,0,0,23131
engine_execution_alloc,resource_startup_failure,2,1,0,0,212,20857,0,0,3
engine_execution_alloc,resource_cleanup_error_upstream,3,1,0,0,317,26767,0,0,23130
engine_execution_alloc,effect_known_receipt,1,0,0,0,152,15290,0,0,23131
engine_execution_alloc,retry_one_failure,1,0,0,0,155,15473,0,0,23131
engine_execution_alloc,component_flat,10,9,0,0,575,47120,0,0,23130
engine_execution_alloc,component_nested,13,12,0,0,858,62425,0,0,23130
engine_execution_alloc,component_flat,100,99,0,0,5262,533336,0,0,23131
engine_execution_alloc,component_nested,103,102,0,0,6535,666001,0,0,23131
plan_build_alloc,component_repeated_typed_2,2,2,0,0,134,19601,0,0,25
engine_execution_alloc,component_repeated_typed_2,2,2,0,0,306,25614,0,0,23133
plan_build_alloc,component_repeated_typed_10,10,10,0,0,460,93857,0,0,25
engine_execution_alloc,component_repeated_typed_10,10,10,0,0,1408,99910,0,0,23141
plan_build_alloc,component_repeated_typed_100,100,100,0,0,3876,811413,0,0,25
engine_execution_alloc,component_repeated_typed_100,100,100,0,0,22569,1497294,0,0,23231
engine_execution_alloc,service_restart_stable_handle,1,0,0,0,237,22516,0,0,27
engine_execution_alloc,service_restart_exhausted,1,0,0,0,185,18020,0,0,19
engine_execution_alloc,dynamic_live_instances_1,3,2,1,0,615,63287,0,0,0
engine_execution_alloc,dynamic_live_instances_10,3,2,10,0,4382,471069,0,0,11
engine_execution_alloc,dynamic_live_instances_100,3,2,100,0,68263,5172799,0,0,101
engine_execution_alloc,dynamic_sequential_churn_1,2,1,1,0,538,52797,0,0,9
engine_execution_alloc,dynamic_sequential_churn_10,2,1,10,0,3495,324419,0,0,90
engine_execution_alloc,dynamic_sequential_churn_100,2,1,100,0,32982,2932271,0,0,900
engine_execution_alloc,effect_unknown_recovery_resolved,1,0,0,0,147,15427,0,0,9
engine_execution_alloc,effect_unknown_recovery_failed,1,0,0,0,154,16131,0,0,11
engine_execution_alloc,trace_default,100,99,0,0,5262,533336,0,0,23131
engine_execution_alloc,trace_observer,100,99,0,0,5262,533336,0,0,23131
